"filename", "language", "JSON", "SQL", "HTML", "JavaScript", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\.env", "Properties", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\admin\admin.controller.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\admin\admin.router.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\admin\admin.service.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 4, 40
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\quiz\quiz.controller.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 8, 117
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\quiz\quiz.router.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\quiz\quiz.service.js", "JavaScript", 0, 0, 0, 165, 0, 0, 11, 12, 188
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\user\user.controller.js", "JavaScript", 0, 0, 0, 156, 0, 0, 3, 7, 166
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\user\user.router.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\api\user\user.service.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 8, 105
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\app.js", "JavaScript", 0, 0, 0, 20, 0, 0, 5, 8, 33
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\auth\bearer.token.auth.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\auth\ip.auth.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 4, 49
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\conf\db.conf.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\conf\response.js", "JavaScript", 0, 0, 0, 38, 0, 0, 5, 1, 44
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\package-lock.json", "JSON", 2978, 0, 0, 0, 0, 0, 0, 1, 2979
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\public\doc\doc.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 18, 106
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\backend\public\doc\doc.html", "HTML", 0, 0, 185, 0, 0, 0, 0, 10, 195
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel Kertsmik\Desktop\GITHUB\School-Project-2023\quiz_db.sql", "SQL", 0, 51, 0, 0, 0, 0, 32, 18, 101
"Total", "-", 3003, 51, 185, 785, 88, 7, 56, 116, 4291
